Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
48;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94504;23/07/2026;23/07/2026 14:19:15;;0;40305;7658;;;44835;;;;;0;;;;0;28;1;0;
49;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61885;23/07/2026;23/07/2026 19:15:43;;0;26050;4950;;;31000;;;;;0;;;;0;;;;
50;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61886;23/07/2026;23/07/2026 19:18:23;;0;420729;79938;;;469000;;;;;0;;;;0;28;1;0;
51;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94528;23/07/2026;23/07/2026 19:46:17;;0;73899;14041;;;112862;;;;24922;0;;;;0;35;24922;0;
52;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94539;24/07/2026;24/07/2026 08:19:07;;0;48391;9194;;;73905;;;;16320;0;;;;0;35;16320;0;
53;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94559;24/07/2026;24/07/2026 10:28:20;;0;75716;14387;;;84226;;;;;0;;;;0;28;1;0;
54;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94676;26/07/2026;26/07/2026 14:37:11;;0;478721;90956;;;532525;;;;;0;;;;0;28;1;0;
55;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94690;27/07/2026;27/07/2026 05:28:07;;0;49628;9430;;;55206;;;;;0;;;;0;28;1;0;
56;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;24120033;27/07/2026;27/07/2026 06:05:28;;0;88568;16828;;;134016;;;;28620;0;;;;0;35;28620;0;
57;33;Del Giro;76197149-2;COMERCIAL Y SERVICIOS TARAHUIN LIMITADA;741553;27/07/2026;27/07/2026 07:46:28;;0;77059;14641;;;86004;;;;;0;;;;0;28;1;0;
58;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94743;27/07/2026;27/07/2026 20:37:11;;0;45659;8675;;;69733;;;;15399;0;;;;0;35;15399;0;
59;33;Del Giro;76381570-6;INTERFACTOR  S.A;9948;27/07/2026;28/07/2026 09:04:59;;0;620023;117804;;;737827;;;;;0;;;;0;;;;
60;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;62446;28/07/2026;28/07/2026 19:37:48;;0;72615;13797;;;110378;;;;23966;0;;;;0;35;23966;0;
61;34;Del Giro;77589965-4;ASESORIAS TAX FINANCIAL LIMITADA;1126;01/07/2026;01/07/2026 11:29:28;;500000;0;0;;;500000;;;;;0;;;;0;;;;
62;34;Del Giro;96875230-8;RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.;7918162;05/07/2026;05/07/2026 18:34:48;;31738;0;0;;;31738;;;;;0;;;;0;;;;
63;34;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;12288151;07/07/2026;08/07/2026 04:10:55;;6670;0;0;;;6670;;;;;0;;;;0;;;;
64;34;Del Giro;76052927-3;Soc. Conc. Autopista Nueva Vespucio Sur S.A.;15088361;08/07/2026;08/07/2026 12:41:19;;4422;0;0;;;4422;;;;;0;;;;0;;;;
65;34;Del Giro;77722758-0;SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.;1942778;09/07/2026;09/07/2026 21:02:06;;67750;0;0;;;67750;;;;;0;;;;0;;;;
66;34;Del Giro;76376061-8;SOCIEDAD CONCESIONARIA VESPUCIO ORIENTE S.A.;3415315;14/07/2026;14/07/2026 15:35:22;;11530;0;0;;;11530;;;;;0;;;;0;;;;
67;34;Del Giro;76052927-3;Soc. Conc. Autopista Nueva Vespucio Sur S.A.;15105847;14/07/2026;17/07/2026 08:28:33;;1365;0;0;;;1365;;;;;0;;;;0;;;;
68;34;Del Giro;77337752-9;SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.;1944377;23/07/2026;23/07/2026 02:30:42;27/07/2026 11:53:10;48446;0;0;;;48446;;;;;0;;;;0;;;;
69;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;20469757;24/07/2026;24/07/2026 18:03:18;27/07/2026 11:53:09;21585;0;0;;;21585;;;;;0;;;;0;;;;
